tiempo,x,y,vx,vy
6.09,304.5,0.7828695000000039,50.0,-29.7429
6.1000000000000005,305.0,0.48494999999996935,50.0,-29.841000000000008
6.11,305.5,0.18604949999999576,50.0,-29.939100000000003
6.12,306.0,-0.11383200000000215,50.0,-30.037200000000006
6.13,306.5,-0.4146945000000244,50.0,-30.1353
6.140000000000001,307.0,-0.7165380000000141,50.0,-30.23340000000001
6.15,307.5,-1.0193625000000281,50.0,-30.331500000000005
6.16,308.0,-1.3231679999999812,50.0,-30.429600000000008
6.17,308.5,-1.6279545000000155,50.0,-30.527700000000003
6.18,309.0,-1.9337220000000173,50.0,-30.625799999999998
6.19,309.5,-2.240470500000015,50.0,-30.723900000000008
6.2,310.0,-2.548200000000037,50.0,-30.822000000000003
6.21,310.5,-2.8569104999999695,50.0,-30.920100000000005
6.22,311.0,-3.1666019999999833,50.0,-31.0182
6.23,311.5,-3.4772745000000214,50.0,-31.11630000000001
6.24,312.0,-3.7889279999999985,50.0,-31.214400000000005
6.25,312.5,-4.1015625,50.0,-31.3125
6.26,313.0,-4.415177999999997,50.0,-31.410600000000002
6.2700000000000005,313.5,-4.729774500000019,50.0,-31.508700000000005
6.28,314.0,-5.045352000000008,50.0,-31.606800000000007
6.29,314.5,-5.36191050000005,50.0,-31.704900000000002
6.3,315.0,-5.679450000000003,50.0,-31.803000000000004
6.3100000000000005,315.5,-5.9979705000000365,50.0,-31.901100000000007
6.32,316.0,-6.317472000000009,50.0,-31.99920000000001
6.33,316.5,-6.637954500000006,50.0,-32.097300000000004
6.34,317.0,-6.959418000000028,50.0,-32.1954
6.3500000000000005,317.5,-7.281862500000017,50.0,-32.29350000000001
6.36,318.0,-7.60528800000003,50.0,-32.391600000000004
6.37,318.5,-7.929694500000039,50.0,-32.489700000000006
6.38,319.0,-8.255082000000016,50.0,-32.5878
6.390000000000001,319.5,-8.581450500000017,50.0,-32.68590000000001
6.4,320.0,-8.908800000000042,50.0,-32.784000000000006
6.41,320.5,-9.237130500000006,50.0,-32.8821
6.42,321.0,-9.566442000000023,50.0,-32.9802
6.43,321.5,-9.896734500000008,50.0,-33.0783
6.44,322.0,-10.228008000000017,50.0,-33.17640000000001
6.45,322.5,-10.560262499999993,50.0,-33.2745
6.46,323.0,-10.893497999999994,50.0,-33.372600000000006
